,Temp,RPM,pH,Replicate,Sampler,Rate,RateBins,Phase,RI,RIBins,dO,GDGT.0,GDGT.1,GDGT.2,GDGT.3,GDGT.3.iso,GDGT.4,GDGT.4.iso,GDGT.5,GDGT.5.iso,GDGT.6,GDGT.7,GDGT.8,DoublingTime,GDGT.Total,GDGT.0.Normalized,GDGT.1.Normalized,GDGT.2.Normalized,GDGT.3.Normalized,GDGT.3.iso.Normalized,GDGT.4.Normalized,GDGT.4.iso.Normalized,GDGT.5.Normalized,GDGT.5.iso.Normalized,GDGT.6.Normalized,GDGT.7.Normalized,GDGT.8.Normalized,Hours
65,70,200,2,1,AZ,0.080645161,NA,ES,2.106551983,NA,20,311943,1149191,2840940,1186386,93666,380518,97464,55201,3388,3404,0,0,12.40000004,6122101,0.050953586,0.187711866,0.464046575,0.193787394,0.01529965,0.062154806,0.015920025,0.009016676,0.000553405,0.000556018,0,0,18
66,70,200,2,2,AZ,0.081967213,NA,ES,2.193596716,NA,20,213097,674816,1650472,915813,78240,282612,71985,47519,1584,3278,0,0,12.20000002,3939416,0.054093551,0.171298487,0.418963623,0.232474306,0.019860812,0.071739567,0.018273013,0.012062448,0.00040209,0.000832103,0,0,18
67,70,200,2,3,AZ,0.084033613,NA,ES,2.071419932,NA,20,526572,1605804,4021999,1683593,230600,375885,174082,77335,4826,5025,0,0,11.90000006,8705721,0.060485743,0.184453878,0.461994934,0.193389267,0.026488329,0.04317678,0.019996276,0.008883239,0.000554348,0.000577207,0,0,18
68,70,200,2,1,AZ,0.144927536,NA,ES,2.013891799,NA,20,91839,292173,626254,264802,6408,86826,12462,7522,145,590,0,0,6.900000011,1389021,0.066117791,0.210344552,0.450859994,0.190639306,0.004613321,0.062508774,0.008971787,0.005415325,0.00010439,0.00042476,0,0,10
69,70,200,2,2,AZ,0.14084507,NA,ES,2.008788385,NA,20,211820,678008,1396195,585047,71873,157437,42164,20840,1438,1630,0,0,7.100000021,3166452,0.066895061,0.214122305,0.440933575,0.184764209,0.022698276,0.049720318,0.01331585,0.006581499,0.000454136,0.000514772,0,0,10
70,70,200,2,3,AZ,0.142857143,NA,ES,2.096114401,NA,20,366315,1508583,2978374,1381793,192674,368476,171105,71063,6955,7861,0,0,6.999999993,7053199,0.051936008,0.213886351,0.422272787,0.195910111,0.02731725,0.052242394,0.024259205,0.010075286,0.000986077,0.00111453,0,0,10
71,70,200,2,4,AZ,0.144927536,NA,ES,1.985014444,NA,20,41452,145567,248984,113001,6840,37270,6069,3882,0,316,0,0,6.900000011,603381,0.068699545,0.24125221,0.412648062,0.187279679,0.011336121,0.061768601,0.010058321,0.006433746,0,0.000523716,0,0,10
72,70,200,2,5,AZ,0.14084507,NA,ES,2.020867928,NA,20,211392,741688,1875129,692445,57391,162840,46394,21649,1415,1631,0,0,7.100000021,3811974,0.055454733,0.194567959,0.491904982,0.18164998,0.015055454,0.042718025,0.012170597,0.00567921,0.000371199,0.000427862,0,0,10
73,70,200,2,6,AZ,0.142857143,NA,ES,2.124568875,NA,20,1567582,5274105,13329297,5737700,862601,1510600,677932,304997,22495,25214,0,0,6.999999993,29312523,0.053478235,0.179926682,0.454730458,0.195742277,0.02942773,0.051534288,0.023127726,0.010405007,0.000767419,0.000860178,0,0,10
74,70,200,2,1,AZ,0.046948357,NA,ES,2.055844347,NA,20,1122901,4101956,10475258,4023127,484268,893675,361166,154213,9626,11882,0,0,21.29999991,21638072,0.051894688,0.189571234,0.484112355,0.185928164,0.022380367,0.041301046,0.016691228,0.007126929,0.000444864,0.000549125,0,0,30
75,70,200,2,2,AZ,0.049019608,NA,ES,2.23877115,NA,20,1928327,6846611,19071261,9249337,1282676,2774891,1236666,693590,41803,63544,0,0,20.39999993,43188706,0.044648872,0.15852781,0.44157982,0.214161012,0.029699339,0.064250385,0.028634014,0.016059523,0.000967915,0.001471311,0,0,30
76,70,200,2,3,AZ,0.046948357,NA,ES,2.626803412,NA,20,1128870,4793123,18468979,12842739,1489932,6220724,2128114,1959371,84253,200340,0,0,21.29999991,49316445,0.022890336,0.09719117,0.374499399,0.260414939,0.030211667,0.126138938,0.043152218,0.039730581,0.001708416,0.004062337,0,0,30
77,70,200,2,4,AZ,0.046948357,NA,ES,2.057367585,NA,20,1190083,4231308,11038572,4201715,522052,912838,394660,163172,10972,12818,0,0,21.29999991,22678190,0.052476983,0.186580499,0.486748369,0.185275589,0.023020003,0.040251801,0.017402623,0.007195107,0.000483813,0.000565213,0,0,30
78,70,200,2,5,AZ,0.049019608,NA,ES,2.256703749,NA,20,1093046,4094731,12527478,6024427,783616,1720754,779401,430684,26404,41558,0,0,20.39999993,27522099,0.039715212,0.14877975,0.455178873,0.218894169,0.028472247,0.06252263,0.028319097,0.015648661,0.000959375,0.001509987,0,0,30
79,70,200,2,6,AZ,0.046948357,NA,ES,2.615919662,NA,20,342676,1525765,7238583,4875917,472805,2245969,676726,620567,19977,57215,0,0,21.29999991,18076200,0.018957303,0.084407398,0.400448269,0.269742368,0.026156216,0.124250064,0.037437404,0.034330612,0.001105155,0.003165212,0,0,30
80,70,200,2,7,AZ,0.046948357,NA,ES,2.084023569,NA,20,1977547,6565361,16024235,6731984,918581,1599380,730015,325851,20906,26235,0,0,21.29999991,34920095,0.056630631,0.188010972,0.458882915,0.192782522,0.026305226,0.045801135,0.020905298,0.009331332,0.000598681,0.000751287,0,0,30
81,70,200,2,8,AZ,0.049019608,NA,ES,2.230400949,NA,20,1311898,4860442,14293001,6582668,892592,1910693,866013,469461,27530,41489,0,0,20.39999993,31255787,0.041972963,0.155505347,0.457291349,0.210606375,0.028557656,0.061130856,0.027707285,0.015019971,0.000880797,0.001327402,0,0,30
82,70,200,2,9,AZ,0.046948357,NA,ES,2.61136412,NA,20,613228,2580445,10936807,7472301,780519,3429526,1117413,1054331,33019,96529,0,0,21.29999991,28114118,0.021812102,0.091784668,0.389014765,0.26578465,0.027762528,0.1219859,0.039745618,0.037501834,0.001174463,0.003433471,0,0,30
83,70,200,2,1,AZ,0.019379845,NA,ES,3.202416432,NA,20,98270,435816,3061311,3496955,314222,3368335,581726,1230656,19960,117378,0,0,51.5999999,12724629,0.007722818,0.0342498,0.240581553,0.274817836,0.024694001,0.264709879,0.045716539,0.09671449,0.001568612,0.009224473,0,0,70
84,70,200,2,2,AZ,0.024213075,NA,ES,3.103829799,NA,20,455739,1891613,10578179,12339761,790000,9927890,1952767,3553118,50768,329147,0,0,41.3000001,41868982,0.010884884,0.045179341,0.252649539,0.294723215,0.018868383,0.237118017,0.046639945,0.084862775,0.001212544,0.007861357,0,0,70
85,70,200,2,3,AZ,0.025,NA,ES,3.375055343,NA,20,209093,921937,6517909,8247344,733736,8560285,1874280,4299536,111676,585627,0,0,40,32061423,0.006521638,0.028755336,0.203294439,0.257235744,0.022885322,0.266996415,0.05845904,0.134103093,0.003483189,0.018265783,0,0,70
86,70,200,2,4,AZ,0.019379845,NA,ES,3.105529457,NA,20,121529,532092,3567091,3901118,287862,3325703,565938,1114618,13304,91747,0,0,51.5999999,13521002,0.008988165,0.039353001,0.263818539,0.288522848,0.02128999,0.245965721,0.041856217,0.08243605,0.000983951,0.006785518,0,0,70
87,70,200,2,5,AZ,0.024213075,NA,ES,3.197676931,NA,20,240176,1046482,6822508,7885868,606145,7237832,1399030,2826896,55049,283308,0,0,41.3000001,28403294,0.008455921,0.036843684,0.240201295,0.277639206,0.021340659,0.254823683,0.049255907,0.099527048,0.00193812,0.009974477,0,0,70
88,70,200,2,6,AZ,0.025,NA,ES,3.386781736,NA,20,213498,962287,6768561,8438559,786718,8759378,2011405,4608209,147348,649748,0,0,40,33345711,0.006402563,0.028857894,0.202981457,0.2530628,0.023592779,0.262683798,0.060319751,0.138194954,0.004418799,0.019485205,0,0,70
