,ID,Temp,RPM,pH,Replicate,GrowthCurves,GDGT.0,GDGT.1,GDGT.2,GDGT.3,GDGT.4,GDGT.5,GDGT.6,GDGT.7,GDGT.8,RI
1,1,58,NA,0.3,OD1,"list(1411662600, 1411740000, 1411859700, 1411983900, 1412010900, 1412071200, 1412100000, 1412163000) / list(0.013, 0.032, 0.237, 0.667, 0.702, 0.805, 0.797, 0.782)",21.55,5.76,27.11,8.94,24.28,10.34,1.67,0.31,0.04,2.4813
2,1,58,NA,0.3,OD2,"list(1411662600, 1411740000, 1411859700, 1411983900, 1412010900, 1412071200, 1412100000, 1412163000) / list(0.016, 0.039, 0.238, 0.636, 0.671, 0.761, 0.783, 0.775)",,,,,,,,,,
3,1,58,NA,0.3,OD3,"list(1411662600, 1411740000, 1411859700, 1411983900, 1412010900, 1412071200, 1412100000, 1412163000) / list(0.017, 0.035, 0.244, 0.661, 0.704, 0.777, 0.799, 0.783)", ,,,,,,,,,
4,2,58,NA,0.5,OD1,"list(1410180300, 1410201000, 1410255900, 1410277500, 1410342300, 1410367500, 1410431400, 1410453900, 1410518700, 1410540300, 1410625800, 1410773400) / list(0.017, 0.022, 0.042, 0.052, 0.155, 0.232, 0.511, 0.583, 0.754, 0.786, 0.867, 0.504)",43.49,6.08,21.15,7.15,16.57,4.93,0.54,0.08,0,1.6456
5,2,58,NA,0.5,OD2,"list(1410180300, 1410201000, 1410255900, 1410277500, 1410342300, 1410367500, 1410431400, 1410453900, 1410518700, 1410540300, 1410625800, 1410773400) / list(0.016, 0.023, 0.044, 0.055, 0.182, 0.28, 0.554, 0.621, 0.779, 0.832, 0.839, 0.448)", ,,,,,,,,,
6,2,58,NA,0.5,OD3,"list(1410180300, 1410201000, 1410255900, 1410277500, 1410342300, 1410367500, 1410431400, 1410453900, 1410518700, 1410540300, 1410625800, 1410773400) / list(0.015, 0.021, 0.052, 0.064, 0.24, 0.36, 0.617, 0.679, 0.783, 0.799, 0.662, 0.379)", ,,,,,,,,,
7,3,58,NA,0.7,OD1,"list(1408360500, 1408385700, 1408446900, 1408469400, 1408531500, 1408557600, 1408621500, 1408647600, 1408704300, 1408730400) / list(0.016, 0.024, 0.119, 0.207, 0.601, 0.737, 0.828, 0.845, 0.794, 0.599)",28.49,8.57,27.83,9.73,18.64,6,0.63,0.1,0.01,2.0254
8,3,58,NA,0.7,OD2,"list(1408360500, 1408385700, 1408446900, 1408469400, 1408531500, 1408557600, 1408621500, 1408647600, 1408704300, 1408730400) / list(0.16, 0.025, 0.114, 0.21, 0.614, 0.729, 0.879, 0.886, 0.822, 0.614)", ,,,,,,,,,
9,3,58,NA,0.7,OD3,"list(1408360500, 1408385700, 1408446900, 1408469400, 1408531500, 1408557600, 1408621500, 1408647600, 1408704300, 1408730400) / list(0.015, 0.022, 0.112, 0.205, 0.645, 0.732, 0.835, 0.844, 0.8, 0.618)", ,,,,,,,,,
10,4,58,NA,0.9,OD1,"list(1408964400, 1408993200, 1409050800, 1409074200, 1409130900, 1409150700, 1409221800, 1409245200, 1409311800) / list(0.016, 0.027, 0.156, 0.232, 0.577, 0.678, 0.797, 0.794, 0.763)",47.94,6.29,19.76,6.42,14.32,4.6,0.56,0.1,0.01,1.4949
11,4,58,NA,0.9,OD2,"list(1408964400, 1408993200, 1409050800, 1409074200, 1409130900, 1409150700, 1409221800, 1409245200, 1409311800) / list(0.017, 0.023, 0.152, 0.224, 0.563, 0.667, 0.793, 0.779, 0.74)", ,,,,,,,,,
12,4,58,NA,0.9,OD3,"list(1408964400, 1408993200, 1409050800, 1409074200, 1409130900, 1409150700, 1409221800, 1409245200, 1409311800) / list(0.02, 0.025, 0.153, 0.235, 0.59, 0.704, 0.841, 0.834, 0.801)", ,,,,,,,,,
13,5,58,NA,1.1,OD1,"list(1409584500, 1409658300, 1409678100, 1409743800, 1409767200, 1409826600, 1409847300, 1409909400, 1409932800, 1410008400, 1410171300) / list(0.007, 0.024, 0.05, 0.202, 0.252, 0.426, 0.481, 0.602, 0.628, 0.667, 0.652)",65.83,10.78,15.15,2.76,3.73,1.45,0.25,0.04,0,0.7331
14,5,58,NA,1.1,OD2,"list(1409584500, 1409658300, 1409678100, 1409743800, 1409767200, 1409826600, 1409847300, 1409909400, 1409932800, 1410008400, 1410171300) / list(0.006, 0.03, 0.041, 0.179, 0.225, 0.384, 0.437, 0.549, 0.574, 0.615, 0.612)", ,,,,,,,,,
15,5,58,NA,1.1,OD3,"list(1409584500, 1409658300, 1409678100, 1409743800, 1409767200, 1409826600, 1409847300, 1409909400, 1409932800, 1410008400, 1410171300) / list(0.007, 0.05, 0.053, 0.194, 0.248, 0.403, 0.454, 0.543, 0.561, 0.592, 0.591)", ,,,,,,,,,
16,6,53,NA,0.7,OD1,"list(1412596800, 1412693100, 1412767800, 1412850600, 1412872200, 1412948700, 1412967600) / list(0.013, 0.073, 0.305, 0.713, 0.796, 0.845, 0.849)",44.19,6.6,22.97,5.69,13.34,6.39,0.73,0.08,0,1.5986
17,6,53,NA,0.7,OD2,"list(1412596800, 1412693100, 1412767800, 1412850600, 1412872200, 1412948700, 1412967600) / list(0.016, 0.078, 0.329, 0.74, 0.8, 0.848, 0.857)", ,,,,,,,,,
18,6,53,NA,0.7,OD3,"list(1412596800, 1412693100, 1412767800, 1412850600, 1412872200, 1412948700, 1412967600) / list(0.019, 0.072, 0.317, 0.718, 0.794, 0.841, 0.85)", ,,,,,,,,,
19,7,63,NA,0.7,OD1,"list(1413199800, 1413283500, 1413304200, 1413371700, 1413392400, 1413453600, 1413478800, 1413541800, 1413565200) / list(0.019, 0.131, 0.194, 0.535, 0.618, 0.715, 0.775, 0.739, 0.7)",31.42,7.62,23.92,9.39,18.18,8.13,1.13,0.2,0.01,2.0526
20,7,63,NA,0.7,OD2,"list(1413199800, 1413283500, 1413304200, 1413371700, 1413392400, 1413453600, 1413478800, 1413541800, 1413565200) / list(0.023, 0.128, 0.198, 0.543, 628, 0.738, 0.791, 0.755, 0.676)", ,,,,,,,,,
21,7,63,NA,0.7,OD3,"list(1413199800, 1413283500, 1413304200, 1413371700, 1413392400, 1413453600, 1413478800, 1413541800, 1413565200) / list(0.019, 0.105, 0.161, 0.468, 0.553, 0.657, 0.725, 0.77, 0.756)", ,,,,,,,,,
